AG,F,4398.54545455,2945.45748475,5530.13963559
AXA,MRT,683415.930048,265557.267351,859144.849005
BRT,SXM,593003.550802,304436.586261,789884.017016
BVI,USVI,3711487.7464,2064522.91148,4867617.25425
DOM,PRI,93195.2432432,25677.7798196,108535.072638
F,WL,703394.677189,406965.913429,914992.519841
F,WV,3909.81818182,2618.18443089,4915.67967608
G,AG,4398.54545455,2945.45748475,5530.13963559
G,F,382184.729228,255927.529429,480507.690795
G,WL,145640.725318,97527.3687416,183109.065476
MRT,BRT,459278.117647,226120.264504,616383.384926
MS,G,1466.18181818,981.819161584,1843.37987853
WD,F,198423.270772,132872.858559,249470.741103
WD,G,388049.4565,259854.806075,487881.210309
WD,WL,63534.5434996,42545.4956929,79879.7922785
